2010-05-31 17:18:49,40.794670,-73.966654,I'm at Whole Foods (808 Columbus Avenue, 97th Street, New York) w/ 6 others. http://4sq.com/3ney5Y
2010-05-31 17:40:07,40.795879,-73.971489,I'm at Duane Reade (2589 Broadway, at 97th St, New York). http://4sq.com/4zbM5N
2010-06-01 08:39:56,40.782361,-73.968372,I'm at Central Park - Bridle Path (Central Park, at 84th St, New York). http://4sq.com/8HVm7L
2010-06-01 15:26:09,40.752998,-73.977056,I'm at Greenwich Produce (Grand Central Terminal, Grand Central Market, New York). http://4sq.com/aE958a
2010-06-01 19:11:41,40.771117,-73.969016,I'm at Central Park - East Green (72nd Street, 5th Ave, New York). http://4sq.com/7346bd
2010-06-01 19:35:34,40.781126,-73.967128,I'm at Central Park - Great Lawn (Central Park, New York). http://4sq.com/8SaZwH
2010-06-01 19:59:39,40.794670,-73.966654,I'm at Whole Foods (808 Columbus Avenue, 97th Street, New York) w/ 5 others. http://4sq.com/3ney5Y
2010-06-02 09:17:54,40.777454,-73.969874,I'm at Central Park - The Ramble (Central Park, New York). http://4sq.com/6d9JuZ
2010-06-02 19:49:40,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-06-03 08:43:22,40.794670,-73.966654,I'm at Whole Foods (808 Columbus Avenue, 97th Street, New York). http://4sq.com/3ney5Y
2010-06-03 09:35:17,40.764681,-73.973136,I'm at Grand Army Plaza @ Central Park South (768 5th Ave, 5th Ave & 59th Street, New York). http://4sq.com/5QX4Cq
2010-06-03 15:43:51,40.752998,-73.977056,I'm at Juniors Bakery (Grand Central Terminal, Main Concourse, New York). http://4sq.com/cKPtGR
2010-06-03 15:59:47,40.755149,-73.977537,I'm at lindt chocolatier (367 madison avenue, New york). http://4sq.com/4o9yiv
2010-06-03 19:20:50,40.773684,-73.966570,I'm at Central Park - Conservatory Water (5th Ave., 70th St., New York). http://4sq.com/dhcCjQ
2010-06-03 19:33:06,40.781126,-73.967128,I'm at Central Park - Great Lawn (Central Park, New York) w/ 3 others. http://4sq.com/8SaZwH
2010-06-04 11:48:59,40.728466,-74.004263,I'm at Film Forum (209 West Houston Street, btw 6th Avenue & Varick, New York). http://4sq.com/2FUePQ
2010-06-04 14:30:07,40.728625,-74.005322,I'm at MTA Subway - Houston St (1) (W Houston St, at Varick St, New York). http://4sq.com/bY2Nck
2010-06-04 15:05:51,40.772669,-73.982081,I'm at Bed Bath & Beyond (1932 Broadway, at W 65th St, New York). http://4sq.com/4BjZou
2010-06-04 16:00:38,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-06-05 07:39:14,40.793887,-73.973017,I'm at New York Sports Club (2527 Broadway, W. 94th, New York). http://4sq.com/86Tu9R
2010-06-05 22:06:22,40.793929,-73.972492,I'm at Starbucks Coffee - Broadway @ 93rd (2498 Broadway, at West 93rd Street, New York). http://4sq.com/80NOES
2010-06-06 07:51:22,40.793887,-73.973017,I'm at New York Sports Club (2527 Broadway, W. 94th, New York). http://4sq.com/86Tu9R
2010-06-06 12:55:51,40.794670,-73.966654,I'm at Whole Foods (808 Columbus Ave, W 97th St, New York) w/ 2 others. http://4sq.com/3ney5Y
2010-06-06 15:51:21,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-06-06 20:37:39,40.786273,-73.978338,I'm at Barnes & Noble (2289 Broadway, at W. 82nd ST, New York). http://4sq.com/3MfvOc
2010-06-07 08:59:58,40.772449,-73.971548,I'm at Central Park - The Mall (Mall, Mid-Park from 66th to 72nd, New York). http://4sq.com/8XMmwQ
2010-06-07 19:04:14,40.771117,-73.969016,I'm at Central Park - East Green (72nd Street, 5th Ave, New York). http://4sq.com/7346bd
2010-06-07 19:32:32,40.784537,-73.973634,I'm at Fres'Co tortillas Grill (100 w. 83rd street, New York). http://4sq.com/7DNRUL
2010-06-08 09:30:29,40.764681,-73.973136,I'm at Grand Army Plaza @ Central Park South (768 5th Ave, 5th Ave & 59th Street, New York). http://4sq.com/5QX4Cq
2010-06-08 15:23:04,40.753895,-73.977921,I'm at Starbucks (335 Madison Ave, New York). http://4sq.com/6Hg4lX
2010-06-08 19:31:28,40.762650,-73.973264,I'm at Niketown (6 E 57th St, at Fifth Ave, New York) w/ 2 others. http://4sq.com/75F6ZW
2010-06-08 20:36:16,40.795638,-73.971420,I'm at texas rotisserie and grill (2581 broadway, 97th, New York). http://4sq.com/82Poht
2010-06-09 09:20:32,40.772449,-73.971548,I'm at Central Park - The Mall (Mall, Mid-Park from 66th to 72nd, New York). http://4sq.com/8XMmwQ
2010-06-09 16:14:11,40.752998,-73.977056,I'm at Juniors Bakery (Grand Central Terminal, Main Concourse, New York). http://4sq.com/cKPtGR
2010-06-09 21:21:14,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-06-10 08:57:34,40.794670,-73.966654,I'm at Whole Foods (808 Columbus Ave, W 97th St, New York). http://4sq.com/3ney5Y
2010-06-10 09:37:35,40.772449,-73.971548,I'm at Central Park - The Mall (Mall, Mid-Park from 66th to 72nd, New York). http://4sq.com/8XMmwQ
2010-06-10 15:30:11,40.752998,-73.977056,I'm at Junior's Cheesecake (Grand Central Terminal, Lower Level, New York). http://4sq.com/93enQ3
2010-06-10 18:56:05,40.762991,-73.983200,I'm at Crumbs (1675 Broadway, btw 52nd & 53rd, New York). http://4sq.com/8y1lj5
2010-06-10 18:56:32,40.759269,-73.974359,I'm at Crumbs (501 Madison Ave, btw 52nd and 53rd, New York). http://4sq.com/1tgO2b
2010-06-10 19:12:48,40.762650,-73.973264,I'm at Niketown (6 E 57th St, at Fifth Ave, New York) w/ 5 others. http://4sq.com/75F6ZW
2010-06-10 19:34:28,40.773847,-73.972363,I'm at Central Park - Bethesda Fountain (Terrace Drive, New York). http://4sq.com/5H35Au
2010-06-10 19:58:22,40.784537,-73.973634,I'm at Fres'Co tortillas Grill (100 w. 83rd street, New York). http://4sq.com/7DNRUL
2010-06-11 10:58:55,40.756392,-73.988307,I'm at AMC Empire 25 (234 W 42nd St, btw 7th & 8th Ave, New York). http://4sq.com/edFYn
2010-06-11 14:11:54,40.772850,-73.984105,I'm at Lincoln Center Plaza (Lincoln Center, 64th, New York). http://4sq.com/4vtaiQ
2010-06-11 14:38:00,40.777463,-73.982237,I'm at Starbucks Coffee (2045 Broadway, btw West 70th & West 71st, New York). http://4sq.com/7K1Yzd
2010-06-11 16:37:34,40.796560,-73.974338,I'm at Riverside Park - Olmsted Wall. http://4sq.com/dqjZqe
2010-06-11 16:48:41,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-06-12 14:55:47,40.793887,-73.973017,I'm at New York Sports Club (2527 Broadway, W. 94th, New York) w/ 2 others. http://4sq.com/86Tu9R
2010-06-13 14:37:37,40.794670,-73.966654,I'm at Whole Foods (808 Columbus Ave, W 97th St, New York). http://4sq.com/3ney5Y
2010-06-13 15:06:44,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-06-14 15:50:58,40.753895,-73.977921,I'm at Starbucks (335 Madison Ave, New York). http://4sq.com/6Hg4lX
2010-06-14 16:03:43,40.753223,-73.974981,I'm at USPS Post Office - Grand Central Station (450 Lexington Ave, at 45th St, New York) w/ 2 others. http://4sq.com/6bi36I
2010-06-15 18:51:14,40.763857,-73.973039,I'm at Apple Store (767 5th Ave, btw 58th & 59th St, New York) w/ 15 others. http://4sq.com/2GAjpC
2010-06-15 19:46:40,40.794670,-73.966654,I'm at Whole Foods (808 Columbus Ave, W 97th St, New York) w/ 3 others. http://4sq.com/3ney5Y
2010-06-16 09:26:23,40.763857,-73.973039,I'm at Apple Store (767 5th Ave, btw 58th & 59th St, New York). http://4sq.com/2GAjpC
2010-06-16 15:14:35,40.753895,-73.977921,I'm at Starbucks (335 Madison Ave, New York). http://4sq.com/6Hg4lX
2010-06-16 18:30:08,40.752998,-73.977056,I'm at Juniors Bakery (Grand Central Terminal, Main Concourse, New York). http://4sq.com/cKPtGR
2010-06-16 19:45:03,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-06-17 09:20:16,40.777454,-73.969874,I'm at Central Park - The Ramble (Central Park, New York). http://4sq.com/6d9JuZ
2010-06-17 09:36:13,40.764681,-73.973136,I'm at Grand Army Plaza @ Central Park South (768 5th Ave, 5th Ave & 59th Street, New York). http://4sq.com/5QX4Cq
2010-06-17 15:38:02,40.752998,-73.977056,I'm at Juniors Bakery (Grand Central Terminal, Main Concourse, New York). http://4sq.com/cKPtGR
2010-06-17 16:16:34,40.755149,-73.977537,I'm at lindt chocolatier (367 madison avenue, New york). http://4sq.com/4o9yiv
2010-06-17 18:54:50,40.759269,-73.974359,I'm at Crumbs (501 Madison Ave, btw 52nd and 53rd, New York). http://4sq.com/1tgO2b
2010-06-17 19:21:38,40.773684,-73.966570,I'm at Central Park - Conservatory Water (5th Ave., 70th St., New York). http://4sq.com/dhcCjQ
2010-06-17 20:03:05,40.795638,-73.971420,I'm at Texas Rotisserie and Grill (2581 Broadway, 97th, New York). http://4sq.com/82Poht
2010-06-18 09:47:15,40.775220,-73.981966,I'm at AMC Loews Lincoln Square 13 (1998 Broadway, 67th Street, New York). http://4sq.com/bgL8a4
2010-06-18 12:51:03,40.770492,-73.981994,I'm at Best Buy (Store 1448) (1880 Broadway, at West 62nd Street, New York). http://4sq.com/4GGixC
2010-06-18 12:59:42,40.771376,-73.982709,I'm at Starbucks (1889 Broadway, at 63rd St, New York). http://4sq.com/6zV7zz
2010-06-18 13:21:53,40.772850,-73.984105,I'm at Lincoln Center Plaza (Lincoln Center, 64th, New York). http://4sq.com/4vtaiQ
2010-06-18 14:38:17,40.799127,-73.975582,I'm at Riverside Park - Cherry Walk. http://4sq.com/cd4DAt
2010-06-18 17:00:04,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-06-19 12:03:55,40.760700,-74.002100,I'm at Pier 84 (12th West, 44th, New York). http://4sq.com/8k0cvq
